hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
0,1,357.7,214.86,520.07,301.45
1,1,357.7,214.86,520.07,283.84
2,1,357.7,214.86,520.07,275.487
3,1,357.7,214.86,520.07,270.5
4,1,357.7,214.86,520.07,269.9
5,1,357.7,214.86,520.07,273.353
6,1,357.7,214.86,520.07,285.438
7,1,357.7,214.86,520.07,306.26
8,1,357.7,214.86,520.07,325.9455
9,1,357.7,214.86,520.07,320.77
10,1,357.7,214.86,520.07,326.58
11,1,357.7,214.86,520.07,336.912
12,1,357.7,214.86,520.07,348.3945
13,1,357.7,214.86,520.07,350.36
14,1,357.7,214.86,520.07,340.48
15,1,357.7,214.86,520.07,341.51
16,1,357.7,214.86,520.07,351.849
17,1,357.7,214.86,520.07,379
18,1,357.7,214.86,520.07,412.15
19,1,357.7,214.86,520.07,416.976
20,1,357.7,214.86,520.07,401.828
21,1,357.7,214.86,520.07,383.356
22,1,357.7,214.86,520.07,357.57
23,1,357.7,214.86,520.07,330.2
0,2,357.7,214.86,520.07,313.37
1,2,357.7,214.86,520.07,300.58
2,2,357.7,214.86,520.07,285.485
3,2,357.7,214.86,520.07,275.617
4,2,357.7,214.86,520.07,274.58
5,2,357.7,214.86,520.07,281.05
6,2,357.7,214.86,520.07,296.33
7,2,357.7,214.86,520.07,321.822
8,2,357.7,214.86,520.07,332.25
9,2,357.7,214.86,520.07,331.14
10,2,357.7,214.86,520.07,340.25
11,2,357.7,214.86,520.07,345.592
12,2,357.7,214.86,520.07,352
13,2,357.7,214.86,520.07,351.92
14,2,357.7,214.86,520.07,346.26
15,2,357.7,214.86,520.07,347.52
16,2,357.7,214.86,520.07,354.158
17,2,357.7,214.86,520.07,372.7
18,2,357.7,214.86,520.07,404.43
19,2,357.7,214.86,520.07,415.04
20,2,357.7,214.86,520.07,399.64
21,2,357.7,214.86,520.07,383.416
22,2,357.7,214.86,520.07,364.63
23,2,357.7,214.86,520.07,336.62
0,3,357.7,214.86,520.07,266.39
1,3,357.7,214.86,520.07,258.29
2,3,357.7,214.86,520.07,252.98
3,3,357.7,214.86,520.07,249.73
4,3,357.7,214.86,520.07,255.45
5,3,357.7,214.86,520.07,271.68
6,3,357.7,214.86,520.07,291.52
7,3,357.7,214.86,520.07,309.72
8,3,357.7,214.86,520.07,310.55
9,3,357.7,214.86,520.07,311.93
10,3,357.7,214.86,520.07,321.445
11,3,357.7,214.86,520.07,326.57
12,3,357.7,214.86,520.07,332.77
13,3,357.7,214.86,520.07,331.57
14,3,357.7,214.86,520.07,331.5
15,3,357.7,214.86,520.07,335.49
16,3,357.7,214.86,520.07,349.93
17,3,357.7,214.86,520.07,370.97
18,3,357.7,214.86,520.07,392.32
19,3,357.7,214.86,520.07,399.47
20,3,357.7,214.86,520.07,387.44
21,3,357.7,214.86,520.07,359.99
22,3,357.7,214.86,520.07,329.77
23,3,357.7,214.86,520.07,294.104
0,4,357.7,214.86,520.07,236.05
1,4,357.7,214.86,520.07,225.855
2,4,357.7,214.86,520.07,218.34
3,4,357.7,214.86,520.07,215.52
4,4,357.7,214.86,520.07,219.615
5,4,357.7,214.86,520.07,243.53
6,4,357.7,214.86,520.07,267.73
7,4,357.7,214.86,520.07,284.88
8,4,357.7,214.86,520.07,283.5
9,4,357.7,214.86,520.07,288.48
10,4,357.7,214.86,520.07,299.205
11,4,357.7,214.86,520.07,303.89
12,4,357.7,214.86,520.07,303.952
13,4,357.7,214.86,520.07,301.155
14,4,357.7,214.86,520.07,298.1775
15,4,357.7,214.86,520.07,302.17
16,4,357.7,214.86,520.07,317.505
17,4,357.7,214.86,520.07,338.175
18,4,357.7,214.86,520.07,352.37
19,4,357.7,214.86,520.07,354.08
20,4,357.7,214.86,520.07,340.84
21,4,357.7,214.86,520.07,315.29
22,4,357.7,214.86,520.07,285.97
23,4,357.7,214.86,520.07,255.39
0,5,357.7,214.86,520.07,261.55
1,5,357.7,214.86,520.07,251.17
2,5,357.7,214.86,520.07,242.08
3,5,357.7,214.86,520.07,240.48
4,5,357.7,214.86,520.07,245.8
5,5,357.7,214.86,520.07,265.855
6,5,357.7,214.86,520.07,291.237
7,5,357.7,214.86,520.07,304.73
8,5,357.7,214.86,520.07,303.04
9,5,357.7,214.86,520.07,304.81
10,5,357.7,214.86,520.07,314.63
11,5,357.7,214.86,520.07,320.81
12,5,357.7,214.86,520.07,317.62
13,5,357.7,214.86,520.07,320.44
