hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
0,1,1.189,0.9228,0.9178,0.9703,0.842745317
1,1,1.189,0.9228,0.9178,0.9703,0.793514118
2,1,1.189,0.9228,0.9178,0.9703,0.770162147
3,1,1.189,0.9228,0.9178,0.9703,0.756220296
4,1,1.189,0.9228,0.9178,0.9703,0.754542913
5,1,1.189,0.9228,0.9178,0.9703,0.764196254
6,1,1.189,0.9228,0.9178,0.9703,0.797981549
7,1,1.189,0.9228,0.9178,0.9703,0.85619234
8,1,1.189,0.9228,0.9178,0.9703,0.911225888
9,1,1.189,0.9228,0.9178,0.9703,0.896757059
10,1,1.189,0.9228,0.9178,0.9703,0.91299972
11,1,1.189,0.9228,0.9178,0.9703,0.941884261
12,1,1.189,0.9228,0.9178,0.9703,0.973985183
13,1,1.189,0.9228,0.9178,0.9703,0.979480011
14,1,1.189,0.9228,0.9178,0.9703,0.9518591
15,1,1.189,0.9228,0.9178,0.9703,0.954738608
16,1,1.189,0.9228,0.9178,0.9703,0.983642717
17,1,1.189,0.9228,0.9178,0.9703,1.059547107
18,1,1.189,0.9228,0.9178,0.9703,1.152222533
19,1,1.189,0.9228,0.9178,0.9703,1.165714286
20,1,1.189,0.9228,0.9178,0.9703,1.123365949
21,1,1.189,0.9228,0.9178,0.9703,1.071724909
22,1,1.189,0.9228,0.9178,0.9703,0.999636567
23,1,1.189,0.9228,0.9178,0.9703,0.923119933
0,2,1.189,0.9228,0.9178,0.9703,0.876069332
1,2,1.189,0.9228,0.9178,0.9703,0.840313112
2,2,1.189,0.9228,0.9178,0.9703,0.798112944
3,2,1.189,0.9228,0.9178,0.9703,0.77052558
4,2,1.189,0.9228,0.9178,0.9703,0.767626503
5,2,1.189,0.9228,0.9178,0.9703,0.785714286
6,2,1.189,0.9228,0.9178,0.9703,0.828431647
7,2,1.189,0.9228,0.9178,0.9703,0.899698071
8,2,1.189,0.9228,0.9178,0.9703,0.928850992
9,2,1.189,0.9228,0.9178,0.9703,0.925747833
10,2,1.189,0.9228,0.9178,0.9703,0.951216103
11,2,1.189,0.9228,0.9178,0.9703,0.966150405
12,2,1.189,0.9228,0.9178,0.9703,0.984064859
13,2,1.189,0.9228,0.9178,0.9703,0.983841208
14,2,1.189,0.9228,0.9178,0.9703,0.968017892
15,2,1.189,0.9228,0.9178,0.9703,0.971540397
16,2,1.189,0.9228,0.9178,0.9703,0.990097847
17,2,1.189,0.9228,0.9178,0.9703,1.041934582
18,2,1.189,0.9228,0.9178,0.9703,1.130640201
19,2,1.189,0.9228,0.9178,0.9703,1.160301929
20,2,1.189,0.9228,0.9178,0.9703,1.117249091
21,2,1.189,0.9228,0.9178,0.9703,1.071892647
22,2,1.189,0.9228,0.9178,0.9703,1.019373777
23,2,1.189,0.9228,0.9178,0.9703,0.941067934
0,3,1.189,0.9228,0.9178,0.9703,0.744730221
1,3,1.189,0.9228,0.9178,0.9703,0.722085547
2,3,1.189,0.9228,0.9178,0.9703,0.707240705
3,3,1.189,0.9228,0.9178,0.9703,0.698154878
4,3,1.189,0.9228,0.9178,0.9703,0.714145932
5,3,1.189,0.9228,0.9178,0.9703,0.75951915
6,3,1.189,0.9228,0.9178,0.9703,0.814984624
7,3,1.189,0.9228,0.9178,0.9703,0.86586525
8,3,1.189,0.9228,0.9178,0.9703,0.86818563
9,3,1.189,0.9228,0.9178,0.9703,0.872043612
10,3,1.189,0.9228,0.9178,0.9703,0.898644115
11,3,1.189,0.9228,0.9178,0.9703,0.912971764
12,3,1.189,0.9228,0.9178,0.9703,0.930304725
13,3,1.189,0.9228,0.9178,0.9703,0.926949958
14,3,1.189,0.9228,0.9178,0.9703,0.926754263
15,3,1.189,0.9228,0.9178,0.9703,0.937908862
16,3,1.189,0.9228,0.9178,0.9703,0.978277886
17,3,1.189,0.9228,0.9178,0.9703,1.037098127
18,3,1.189,0.9228,0.9178,0.9703,1.096785015
19,3,1.189,0.9228,0.9178,0.9703,1.116773833
20,3,1.189,0.9228,0.9178,0.9703,1.083142298
21,3,1.189,0.9228,0.9178,0.9703,1.006402013
22,3,1.189,0.9228,0.9178,0.9703,0.921917808
23,3,1.189,0.9228,0.9178,0.9703,0.822208555
0,4,1.189,0.9228,0.9178,0.9703,0.65991054
1,4,1.189,0.9228,0.9178,0.9703,0.631409002
2,4,1.189,0.9228,0.9178,0.9703,0.610399776
3,4,1.189,0.9228,0.9178,0.9703,0.602516075
4,4,1.189,0.9228,0.9178,0.9703,0.613964216
5,4,1.189,0.9228,0.9178,0.9703,0.680821918
6,4,1.189,0.9228,0.9178,0.9703,0.748476377
7,4,1.189,0.9228,0.9178,0.9703,0.796421582
8,4,1.189,0.9228,0.9178,0.9703,0.792563601
9,4,1.189,0.9228,0.9178,0.9703,0.806485882
10,4,1.189,0.9228,0.9178,0.9703,0.836469108
11,4,1.189,0.9228,0.9178,0.9703,0.849566676
12,4,1.189,0.9228,0.9178,0.9703,0.849740006
13,4,1.189,0.9228,0.9178,0.9703,0.841920604
14,4,1.189,0.9228,0.9178,0.9703,0.833596589
15,4,1.189,0.9228,0.9178,0.9703,0.844758177
16,4,1.189,0.9228,0.9178,0.9703,0.887629298
17,4,1.189,0.9228,0.9178,0.9703,0.945415152
18,4,1.189,0.9228,0.9178,0.9703,0.985099245
19,4,1.189,0.9228,0.9178,0.9703,0.989879788
20,4,1.189,0.9228,0.9178,0.9703,0.95286553
21,4,1.189,0.9228,0.9178,0.9703,0.881436958
22,4,1.189,0.9228,0.9178,0.9703,0.799468829
